host,alive,rtt_ms,error
192.168.101.182,false,,unexpected ICMP type: <nil>
192.168.101.127,false,,unexpected ICMP type: <nil>
192.168.101.3,false,,unexpected ICMP type: <nil>
192.168.101.36,false,,unexpected ICMP type: <nil>
192.168.101.1,false,,unexpected ICMP type: <nil>
192.168.101.5,false,,unexpected ICMP type: <nil>
192.168.101.8,false,,read: read ip4 172.19.0.2->192.168.101.8: i/o timeout
192.168.101.9,false,,read: read ip4 172.19.0.2->192.168.101.9: i/o timeout
192.168.101.111,false,,read: read ip4 172.19.0.2->192.168.101.111: i/o timeout
192.168.101.112,false,,read: read ip4 172.19.0.2->192.168.101.112: i/o timeout
192.168.101.114,false,,read: read ip4 172.19.0.2->192.168.101.114: i/o timeout
192.168.101.113,false,,read: read ip4 172.19.0.2->192.168.101.113: i/o timeout
192.168.101.6,false,,read: read ip4 172.19.0.2->192.168.101.6: i/o timeout
192.168.101.7,false,,read: read ip4 172.19.0.2->192.168.101.7: i/o timeout
192.168.101.10,false,,read: read ip4 172.19.0.2->192.168.101.10: i/o timeout
192.168.101.23,false,,read: read ip4 172.19.0.2->192.168.101.23: i/o timeout
192.168.101.108,false,,read: read ip4 172.19.0.2->192.168.101.108: i/o timeout
192.168.101.0,false,,read: read ip4 172.19.0.2->192.168.101.0: i/o timeout
192.168.101.109,false,,read: read ip4 172.19.0.2->192.168.101.109: i/o timeout
192.168.101.2,false,,read: read ip4 172.19.0.2->192.168.101.2: i/o timeout
192.168.101.16,false,,read: read ip4 172.19.0.2->192.168.101.16: i/o timeout
192.168.101.4,false,,read: read ip4 172.19.0.2->192.168.101.4: i/o timeout
192.168.101.11,false,,read: read ip4 172.19.0.2->192.168.101.11: i/o timeout
192.168.101.115,false,,read: read ip4 172.19.0.2->192.168.101.115: i/o timeout
192.168.101.12,false,,read: read ip4 172.19.0.2->192.168.101.12: i/o timeout
192.168.101.14,false,,read: read ip4 172.19.0.2->192.168.101.14: i/o timeout
192.168.101.110,false,,read: read ip4 172.19.0.2->192.168.101.110: i/o timeout
192.168.101.24,false,,read: read ip4 172.19.0.2->192.168.101.24: i/o timeout
192.168.101.13,false,,read: read ip4 172.19.0.2->192.168.101.13: i/o timeout
192.168.101.17,false,,read: read ip4 172.19.0.2->192.168.101.17: i/o timeout
